sharedfakeplanets,sharedlegitplanets,didntshare,researched,didntresearch,score
333,343,324,478,522,513817
317,343,340,497,503,513788
331,343,326,479,521,513782
332,343,325,519,481,513715
334,343,323,478,522,513610
320,343,337,507,493,513560
311,343,346,512,488,513535
336,343,321,493,507,513398
332,343,325,490,510,513397
310,343,347,502,498,513388
342,342,316,513,487,513384
346,343,311,491,509,513220
330,343,327,489,511,513111
337,343,320,487,513,513070
347,343,310,501,499,513028
335,342,323,476,524,513010
321,343,336,524,476,512890
325,342,333,481,519,512855
337,342,321,464,536,512827
340,343,317,476,524,512818
319,342,339,515,485,512784
353,342,305,515,485,512623
322,342,336,516,484,512586
347,343,310,512,488,512544
346,343,311,513,487,512540
320,342,338,490,510,512515
341,342,317,484,516,512389
297,343,360,515,485,512371
349,342,309,514,486,512371
314,342,344,509,491,512294
333,342,325,473,527,512239
353,342,305,479,521,512193
322,342,336,508,492,512175
326,342,332,512,488,512163
330,342,328,504,496,512120
331,342,327,470,530,512098
322,342,336,494,506,512095
322,342,336,512,488,511946
324,342,334,495,505,511872
320,342,338,484,516,511812
342,341,317,510,490,511603
329,341,330,487,513,511543
315,342,343,513,487,511418
347,341,312,497,503,511325
340,341,319,513,487,511182
334,341,325,493,507,511115
350,341,309,497,503,511087
334,341,325,464,536,511028
309,341,350,519,481,511004
323,341,336,497,503,510977
332,341,327,501,499,510949
327,341,332,508,492,510834
346,341,313,511,489,510762
346,341,313,516,484,510730
328,341,331,486,514,510728
327,340,333,486,514,510704
338,341,321,512,488,510489
343,341,316,513,487,510437
334,341,325,540,460,510366
326,341,333,499,501,510340
338,341,321,490,510,510306
346,341,313,509,491,510287
327,341,332,466,534,510198
329,341,330,484,516,510187
315,340,345,516,484,510121
340,340,320,514,486,509981
331,341,328,513,487,509868
332,340,328,519,481,509865
330,340,330,506,494,509771
330,341,329,495,505,509768
328,340,332,496,504,509693
333,340,327,493,507,509630
332,340,328,488,512,509527
311,341,348,499,501,509511
331,340,329,494,506,509475
341,340,319,502,498,509423
333,340,327,514,486,509344
359,340,301,505,495,509338
346,340,314,484,516,509235
315,340,345,518,482,509009
318,340,342,515,485,508910
328,340,332,501,499,508804
328,340,332,497,503,508779
328,340,332,495,505,508742
330,339,331,523,477,508689
341,340,319,514,486,508514
323,340,337,495,505,508504
342,339,319,499,501,508499
327,339,334,512,488,508454
322,339,339,486,514,508369
333,340,327,475,525,508284
334,339,327,492,508,508221
326,339,335,486,514,508207
324,339,337,499,501,508185
334,339,327,509,491,508112
319,339,342,514,486,508106
342,339,319,481,519,507875
307,340,353,481,519,507847
328,339,333,517,483,507845
353,339,308,513,487,507619
350,339,311,504,496,507600
328,339,333,486,514,507508
342,339,319,480,520,507502
329,338,333,482,518,507423
332,339,329,495,505,507414
325,339,336,519,481,507378
331,339,330,502,498,507365
347,339,314,505,495,507350
321,339,340,515,485,507333
324,339,337,479,521,507298
334,339,327,486,514,507288
345,339,316,505,495,507160
335,339,326,494,506,507126
337,339,324,520,480,507102
322,338,340,491,509,507081
335,338,327,485,515,507014
324,339,337,508,492,506939
320,339,341,490,510,506879
332,339,329,490,510,506845
311,338,351,484,516,506810
320,338,342,481,519,506808
334,338,328,494,506,506786
322,339,339,484,516,506775
328,338,334,506,494,506600
336,339,325,518,482,506593
327,338,335,491,509,506527
319,338,343,499,501,506505
333,338,329,489,511,506362
326,338,336,538,462,506336
352,338,310,475,525,506296
328,338,334,491,509,506276
339,338,323,509,491,506243
322,338,340,505,495,506156
322,338,340,500,500,506077
307,338,355,518,482,505990
313,337,350,490,510,505909
317,338,345,501,499,505896
313,338,349,502,498,505843
323,338,339,500,500,505614
326,338,336,459,541,505573
334,338,328,524,476,505569
333,337,330,513,487,505547
339,338,323,482,518,505517
320,338,342,500,500,505403
350,337,313,490,510,505384
345,337,318,484,516,505336
329,338,333,490,510,505331
350,337,313,480,520,505296
330,337,333,492,508,505295
323,337,340,490,510,505239
336,337,327,538,462,505137
330,337,333,492,508,504912
317,337,346,498,502,504887
332,337,331,479,521,504843
327,337,336,512,488,504824
306,338,356,505,495,504810
330,337,333,489,511,504744
324,337,339,508,492,504625
346,337,317,489,511,504602
330,337,333,505,495,504593
311,338,351,505,495,504573
327,337,336,498,502,504531
304,338,358,526,474,504489
319,336,345,470,530,504489
312,337,351,474,526,504466
336,337,327,504,496,504432
337,337,326,527,473,504417
341,336,323,490,510,504280
316,337,347,490,510,504273
318,337,345,497,503,504121
333,336,331,507,493,504102
336,337,327,496,504,504097
332,337,331,509,491,504048
329,337,334,505,495,503840
343,336,321,464,536,503751
345,336,319,481,519,503550
333,337,330,501,499,503523
335,336,329,513,487,503463
309,336,355,530,470,503456
340,337,323,503,497,503373
339,337,324,509,491,503367
317,336,347,498,502,503362
323,336,341,478,522,503357
308,336,356,480,520,503331
338,336,326,490,510,503284
331,336,333,531,469,503280
321,336,343,473,527,503098
338,336,326,488,512,502990
314,336,350,469,531,502925
342,336,322,485,515,502889
329,336,335,505,495,502885
330,336,334,522,478,502731
353,336,311,502,498,502719
321,336,343,513,487,502718
350,335,315,469,531,502713
315,336,349,486,514,502628
328,335,337,491,509,502620
330,335,335,480,520,502458
331,336,333,524,476,502447
328,335,337,497,503,502327
345,335,320,489,511,502284
336,335,329,494,506,502276
324,335,341,505,495,502225
330,336,334,500,500,502219
316,335,349,491,509,502194
328,335,337,522,478,502185
357,335,308,517,483,502178
336,335,329,501,499,501958
328,335,337,512,488,501876
320,335,345,532,468,501848
347,335,318,505,495,501830
326,335,339,485,515,501813
314,335,351,491,509,501810
335,335,330,500,500,501681
333,335,332,493,507,501586
309,335,356,516,484,501547
360,335,305,525,475,501525
341,335,324,509,491,501396
349,335,316,518,482,501312
344,335,321,499,501,501305
345,334,321,500,500,501273
318,334,348,465,535,501190
329,335,336,533,467,501074
323,335,342,525,475,500942
326,334,340,466,534,500723
333,334,333,499,501,500620
330,335,335,480,520,500496
321,335,344,456,544,500439
334,334,332,510,490,500434
347,334,319,492,508,500433
340,334,326,500,500,500424
336,334,330,471,529,500320
321,334,345,505,495,500278
328,334,338,525,475,500256
307,334,359,540,460,500168
334,334,332,480,520,500157
320,334,346,503,497,500072
335,334,331,500,500,500061
325,333,342,505,495,500059
335,334,331,505,495,499987
304,334,362,510,490,499921
313,333,354,501,499,499895
348,334,318,507,493,499837
343,334,323,489,511,499775
317,333,350,462,538,499770
340,333,327,492,508,499752
331,334,335,484,516,499744
333,333,334,518,482,499697
302,333,365,513,487,499656
338,334,328,496,504,499629
347,333,320,507,493,499444
333,334,333,487,513,499288
350,333,317,510,490,499219
321,333,346,510,490,498997
334,333,333,497,503,498980
329,333,338,505,495,498971
355,333,312,463,537,498910
355,333,312,505,495,498823
327,333,340,477,523,498795
350,333,317,502,498,498764
328,333,339,484,516,498757
340,333,327,484,516,498720
339,333,328,479,521,498676
333,333,334,514,486,498658
348,333,319,506,494,498550
322,333,345,491,509,498513
327,333,340,506,494,498445
354,333,313,523,477,498422
339,333,328,489,511,498392
335,333,332,514,486,498364
332,333,335,503,497,498344
351,333,316,493,507,498320
330,333,337,477,523,498201
331,333,336,506,494,498083
338,333,329,480,520,498037
339,332,329,536,464,498001
333,332,335,496,504,497984
356,333,311,505,495,497976
314,332,354,496,504,497846
331,333,336,507,493,497781
330,333,337,504,496,497766
328,333,339,483,517,497700
346,332,322,512,488,497624
340,332,328,511,489,497611
337,332,331,498,502,497546
346,332,322,520,480,497510
344,332,324,487,513,497445
337,332,331,499,501,497426
356,332,312,514,486,497417
322,332,346,513,487,497414
339,333,328,515,485,497393
356,332,312,484,516,497385
327,332,341,480,520,497275
331,332,337,525,475,497201
369,332,299,510,490,497176
322,332,346,479,521,497164
345,333,322,494,506,497106
311,332,357,523,477,497050
356,332,312,529,471,497036
329,331,340,498,502,496807
341,332,327,507,493,496708
363,332,305,496,504,496661
337,332,331,513,487,496617
354,331,315,509,491,496457
345,331,324,513,487,496412
322,331,347,495,505,496404
319,331,350,476,524,496362
342,331,327,519,481,496284
336,332,332,506,494,496247
332,331,337,497,503,496231
327,331,342,472,528,496228
309,331,360,498,502,496134
314,331,355,494,506,496088
342,331,327,507,493,496036
336,331,333,510,490,495951
315,332,353,501,499,495879
332,331,337,499,501,495877
343,331,326,508,492,495848
325,331,344,535,465,495815
328,331,341,515,485,495790
334,331,335,495,505,495782
331,332,337,513,487,495748
337,331,332,509,491,495718
333,331,336,539,461,495696
342,331,327,491,509,495622
318,331,351,494,506,495599
333,331,336,517,483,495588
346,331,323,499,501,495531
337,331,332,481,519,495470
322,330,348,494,506,495266
318,331,351,519,481,495234
339,331,330,479,521,495120
322,331,347,502,498,495099
332,331,337,517,483,495057
355,331,314,532,468,495047
310,331,359,519,481,495029
334,330,336,488,512,494973
343,330,327,507,493,494924
337,330,333,517,483,494896
335,330,335,502,498,494748
314,330,356,488,512,494746
349,330,321,506,494,494649
354,330,316,508,492,494601
319,330,351,484,516,494591
337,331,332,515,485,494564
311,330,359,494,506,494550
322,331,347,502,498,494508
334,330,336,495,505,494500
321,331,348,526,474,494494
338,330,332,462,538,494467
332,330,338,492,508,494382
331,330,339,502,498,494373
330,330,340,503,497,494351
